ID;Lat;Long;Zone;Type
541;338745.8;7715809.43;24K;1
542;338655.21;7715767.39;24K;1
543;338570.05;7715715.06;24K;1
544;338490.99;7715653.9;24K;1
545;338414.77;7715589.55;24K;1
546;338324.42;7715547.47;24K;1
547;338226.88;7715525.62;24K;1
548;338130.16;7715500.29;24K;1
549;338035.26;7715468.85;24K;1
550;337943.98;7715428.6;24K;1
551;337857.67;7715378.1;24K;1
552;337771.09;7715328.06;24K;1
553;337684.23;7715278.51;24K;1
554;337599.88;7715225.91;24K;1
555;337543.88;7715143.99;24K;1
556;337526.81;7715046.25;24K;1
557;337544.59;7714948;24K;1
558;337567.13;7714850.63;24K;1
559;337568.08;7714751.06;24K;1
560;337537.88;7714656.18;24K;1
561;337485.42;7714571.3;24K;1
562;337449.1;7714478.32;24K;1
563;337432.19;7714379.93;24K;1
564;337432.34;7714280.01;24K;1
565;337405.31;7714184.53;24K;1
566;337340.28;7714110.21;24K;1
567;337254.45;7714058.93;24K;1
568;337171.87;7714002.56;24K;1
569;337092.91;7713941.22;24K;1
570;337016.06;7713877.36;24K;1
571;336944.35;7713808.02;24K;1
572;336891.4;7713723.48;24K;1
573;336866.01;7713626.83;24K;1
574;336846.93;7713528.68;24K;1
575;336833.81;7713429.56;24K;1
576;336817.46;7713331.11;24K;1
577;336819.63;7713231.42;24K;1
578;336847.39;7713135.65;24K;1
579;336898.87;7713050.27;24K;1
580;336960.53;7712971.63;24K;1
581;337010.98;7712885.42;24K;1
582;337072.48;7712806.57;24K;1
583;337131.26;7712725.68;24K;1
584;337178.68;7712637.98;24K;1
585;337206.85;7712542.2;24K;1
586;337215.95;7712442.78;24K;1
587;337202.71;7712343.94;24K;1
588;337183.61;7712245.78;24K;1
589;337165.95;7712147.35;24K;1
590;337147.45;7712049.08;24K;1
591;337128.12;7711950.96;24K;1
592;337107.96;7711853.02;24K;1
593;337086.32;7711755.4;24K;1
594;337072.96;7711656.53;24K;1
595;337082.43;7711557.21;24K;1
596;337114.46;7711462.71;24K;1
597;337169.53;7711379.84;24K;1
598;337234.01;7711303.4;24K;1
599;337298.12;7711226.67;24K;1
600;337343.6;7711138.17;24K;1
601;337356.61;7711039.53;24K;1
602;337335.7;7710942.25;24K;1
603;337280.26;7710860.2;24K;1
604;337211.4;7710787.68;24K;1
605;337142.55;7710715.16;24K;1
606;337073.82;7710642.53;24K;1
607;337005.08;7710569.9;24K;1
608;336936.44;7710497.17;24K;1
609;336867.83;7710424.42;24K;1
610;336794.56;7710356.68;24K;1
611;336717.14;7710293.38;24K;1
612;336639.73;7710230.08;24K;1
613;336562.31;7710166.77;24K;1
614;336484.9;7710103.47;24K;1
615;336406.92;7710040.93;24K;1
616;336326.65;7709981.38;24K;1
617;336253.19;7709913.6;24K;1
618;336188.12;7709837.84;24K;1
619;336133.01;7709754.4;24K;1
620;336080.01;7709669.61;24K;1
621;336029.14;7709583.52;24K;1
622;335980.49;7709496.15;24K;1
623;335930.87;7709409.43;24K;1
624;335894.55;7709316.37;24K;1
625;335873.61;7709218.79;24K;1
626;335868.68;7709118.91;24K;1
627;335862.15;7709019.12;24K;1
628;335854.07;7708919.45;24K;1
629;335844.24;7708819.94;24K;1
630;335840.27;7708720.09;24K;1
631;335838.66;7708620.11;24K;1
632;335841.47;7708520.24;24K;1
633;335858.56;7708421.8;24K;1
634;335889.65;7708326.85;24K;1
635;335936.25;7708238.82;24K;1
636;335996.2;7708158.78;24K;1
637;336055.64;7708078.36;24K;1
638;336114.59;7707997.59;24K;1
639;336173;7707916.42;24K;1
640;336229.96;7707834.23;24K;1
641;336286.82;7707751.97;24K;1
642;336343.68;7707669.7;24K;1
643;336401.24;7707587.98;24K;1
644;336472.83;7707518.41;24K;1
645;336556.73;7707464.33;24K;1
646;336649.65;7707427.85;24K;1
647;336747.98;7707410.53;24K;1
648;336847.49;7707400.7;24K;1
649;336947.29;7707394.44;24K;1
650;337047.19;7707390.27;24K;1
651;337146.27;7707377.15;24K;1
652;337238.79;7707341.93;24K;1
653;337326.69;7707294.26;24K;1
654;337414.6;7707246.58;24K;1
655;337502.99;7707199.96;24K;1
656;337587.7;7707147.73;24K;1
657;337650.66;7707070.65;24K;1
658;337683.57;7706976.89;24K;1
659;337704.87;7706879.2;24K;1
660;337734.78;7706784.01;24K;1
661;337789.53;7706700.72;24K;1
662;337864.86;7706635.46;24K;1
663;337954.19;7706590.86;24K;1
664;338040.39;7706540.38;24K;1
665;338117.15;7706476.54;24K;1
666;338184.13;7706402.3;24K;1
667;338247.1;7706324.63;24K;1
668;338300.47;7706240.6;24K;1
669;338344.11;7706150.63;24K;1
670;338388.71;7706061.13;24K;1
671;338434.2;7705972.07;24K;1
672;338480.06;7705883.21;24K;1
673;338525.91;7705794.34;24K;1
674;338184;7705443;24K;1
