"specie" "km" "X" "Y"
"Cthous" 35 352249.153 7723551.049
"Cthous" 35.8 351567.838 7722866.931
"Cthous" 36 351567.838 7722866.931
"Cthous" 36.1 351567.838 7722866.931
"Cthous" 36.2 351540.522 7722857.191
"Cthous" 36.5 351463.714 7722368.373
"Cthous" 37 351409.971 7721864.317
"Cthous" 37 351409.971 7721864.317
"Cthous" 37 351409.971 7721864.317
"Cthous" 37 351409.971 7721864.317
"Cthous" 37.1 351409.971 7721864.317
"Cthous" 37.9 351293.407 7720872.75
"Cthous" 38 351293.407 7720872.75
"Cthous" 38 351314.198 7720861.055
"Cthous" 38 351293.407 7720872.75
"Cthous" 38 351293.407 7720872.75
"Cthous" 38 351293.407 7720872.75
"Cthous" 38 351293.407 7720872.75
"Cthous" 38.1 351293.407 7720872.75
"Cthous" 38.2 351293.407 7720872.75
"Cthous" 38.2 351293.407 7720872.75
"Cthous" 38.2 351293.407 7720872.75
"Cthous" 38.8 350993.659 7719923.516
"Cthous" 38.8 351011.695 7719907.047
"Cthous" 39 350993.659 7719923.516
"Cthous" 39 351011.695 7719907.047
"Cthous" 39 350993.659 7719923.516
"Cthous" 39 351011.695 7719907.047
"Cthous" 39 350993.659 7719923.516
"Cthous" 39 350993.659 7719923.516
"Cthous" 39.4 350633.8 7719138.243
"Cthous" 39.7 350793.926 7719493.591
"Cthous" 39.8 350209.212 7719291.867
"Cthous" 39.8 350209.212 7719291.867
"Cthous" 39.8 350227.571 7719302.125
"Cthous" 39.9 350227.571 7719302.125
"Cthous" 40 350209.212 7719291.867
"Cthous" 40 350209.212 7719291.867
"Cthous" 40 350227.571 7719302.125
"Cthous" 40 350209.212 7719291.867
"Cthous" 40.5 349805.029 7719602.441
"Cthous" 41 349341.302 7719753.917
"Cthous" 41.9 348391.193 7719961.018
"Cthous" 42 348391.193 7719961.018
"Cthous" 42.1 348373.409 7719948.982
"Cthous" 42.5 347928.979 7720190.266
"Cthous" 43 347435.887 7720183.461
"Cthous" 43.1 347435.887 7720183.461
"Cthous" 44 346458.161 7720285.095
"Cthous" 44.1 346458.161 7720285.095
"Cthous" 44.2 346464.736 7720300.001
"Cthous" 44.5 345961.518 7720176.07
"Cthous" 44.5 345961.518 7720176.07
"Cthous" 44.6 345961.518 7720176.07
"Cthous" 44.6 345961.518 7720176.07
"Cthous" 44.6 345920.318 7720156.692
"Cthous" 44.7 345920.318 7720156.692
"Cthous" 45 345470.506 7720124.687
"Cthous" 45 345472.064 7720137.767
"Cthous" 45.3 344968.026 7720165.828
"Cthous" 45.9 344598.104 7719896.982
"Cthous" 46 344606.116 7719876.864
"Cthous" 46 344598.104 7719896.982
"Cthous" 46 344598.104 7719896.982
"Cthous" 46.2 344598.104 7719896.982
"Cthous" 46.5 344322.464 7719408.667
"Cthous" 46.8 344185.466 7718984.571
"Cthous" 47 344196.843 7718963.296
"Cthous" 47 344185.466 7718984.571
"Cthous" 47.5 343876.1 7718579.672
"Cthous" 47.5 343876.1 7718579.672
"Cthous" 47.6 343876.1 7718579.672
"Cthous" 47.7 343899.251 7718615.518
"Cthous" 47.8 343415.342 7718405.572
"Cthous" 48 343415.342 7718405.572
"Cthous" 48 343436.755 7718387.36
"Cthous" 48 343436.755 7718387.36
"Cthous" 48 343415.342 7718405.572
"Cthous" 48 343436.755 7718387.36
"Cthous" 48 343436.755 7718387.36
"Cthous" 48.7 342966.418 7718282.642
"Cthous" 48.7 342966.418 7718282.642
"Cthous" 48.9 342609.159 7717982.388
"Cthous" 49 342609.159 7717982.388
"Cthous" 49.2 342603.773 7717960.365
"Cthous" 49.9 341622.408 7717980.912
"Cthous" 49.9 341649.89 7717732.333
"Cthous" 50 341649.89 7717732.333
"Cthous" 50.2 341649.89 7717732.333
"Cthous" 50.2 341649.89 7717732.333
"Cthous" 50.4 341265.216 7717676.471
"Cthous" 50.5 341265.216 7717676.471
"Cthous" 51 340796.101 7717325.834
"Cthous" 51.5 340502.743 7716894.884
"Cthous" 51.7 340502.743 7716894.884
"Cthous" 51.8 340061.989 7716859.844
"Cthous" 52 340061.989 7716859.844
"Cthous" 52.3 339681.832 7716506.45
"Cthous" 52.5 339681.832 7716506.45
"Cthous" 53 339344.557 7716171.864
"Cthous" 53 339344.557 7716171.864
"Cthous" 53 339344.557 7716171.864
"Cthous" 53 339344.557 7716171.864
"Cthous" 53.2 339344.557 7716171.864
"Cthous" 53.8 338524.07 7715686.568
"Cthous" 53.8 338524.07 7715686.568
"Cthous" 54 338524.07 7715686.568
