specie	km
Daurita	25
PotentialUsers	25
PotentialUsers	25
PotentialUsers	25
PotentialUsers	25
Daurita	25.5
PotentialUsers	25.5
Daurita	26
PotentialUsers	26
Sbrasiliensis	26
PotentialUsers	26
Cthous	26
Cinsidiosus	26
Cinsidiosus	26
Cinsidiosus	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
Daurita	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
PotentialUsers	26
Cinsidiosus	26
PotentialUsers	26
Daurita	26.5
PotentialUsers	26.5
Cinsidiosus	26.5
Cinsidiosus	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
Cinsidiosus	26.5
Cinsidiosus	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
Boidae	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
Daurita	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
PotentialUsers	26.5
Daurita	27
Daurita	27
Daurita	27
Llongicaudis	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
Boidae	27
Cthous	27
Cthous	27
Cinsidiosus	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Daurita	27
Hhydrochaeris	27
Hhydrochaeris	27
Ttetradactyla	27
Ttetradactyla	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
PotentialUsers	27
Daurita	27
Daurita	27
PotentialUsers	27
PotentialUsers	27
Daurita	27
Daurita	27
PotentialUsers	27
PotentialUsers	27
Cthous	27.5
Daurita	27.5
PotentialUsers	27.5
PotentialUsers	27.5
Cthous	27.5
PotentialUsers	27.5
Cthous	27.5
Cthous	27.5
Cthous	27.5
Cthous	27.5
Daurita	27.5
Daurita	27.5
Daurita	27.5
Daurita	27.5
Daurita	27.5
Smerianae	27.5
PotentialUsers	27.5
PotentialUsers	27.5
PotentialUsers	27.5
PotentialUsers	27.5
PotentialUsers	27.5
PotentialUsers	27.5
PotentialUsers	27.5
PotentialUsers	27.5
PotentialUsers	27.5
PotentialUsers	27.5
Hhydrochaeris	27.5
PotentialUsers	27.5
Cthous	28
Cinsidiosus	28
Daurita	28
Daurita	28
Daurita	28
Hhydrochaeris	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
Boidae	28
Cthous	28
Cthous	28
Cthous	28
Cthous	28
Cthous	28
Cthous	28
Cinsidiosus	28
Cpaca	28
Dasypodidae	28
Dasypodidae	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Daurita	28
Hhydrochaeris	28
Llongicaudis	28
Ttetradactyla	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
Boidae	28
Daurita	28
Daurita	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
Cthous	28
Cpaca	28
Daurita	28
PotentialUsers	28
PotentialUsers	28
PotentialUsers	28
Boidae	28.5
Daurita	28.5
PotentialUsers	28.5
PotentialUsers	28.5
Daurita	28.5
PotentialUsers	28.5
Boidae	28.5
Cinsidiosus	28.5
Daurita	28.5
Daurita	28.5
Daurita	28.5
PotentialUsers	28.5
PotentialUsers	28.5
PotentialUsers	28.5
PotentialUsers	28.5
PotentialUsers	28.5
Hhydrochaeris	28.5
Hhydrochaeris	28.5
PotentialUsers	28.5
PotentialUsers	28.5
Boidae	29
Cinsidiosus	29
PotentialUsers	29
PotentialUsers	29
Boidae	29
Boidae	29
Boidae	29
Boidae	29
Boidae	29
Boidae	29
Cthous	29
Cthous	29
Cthous	29
Cthous	29
Cthous	29
Cinsidiosus	29
Daurita	29
Daurita	29
Daurita	29
Daurita	29
Daurita	29
Daurita	29
Hhydrochaeris	29
Pcancrivorus	29
Ttetradactyla	29
Ttetradactyla	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
PotentialUsers	29
Daurita	29
PotentialUsers	29
Hhydrochaeris	29
Hhydrochaeris	29
PotentialUsers	29
PotentialUsers	29
Daurita	29.5
PotentialUsers	29.5
Daurita	29.5
Hhydrochaeris	29.5
PotentialUsers	29.5
PotentialUsers	29.5
Cthous	30
Daurita	30
Daurita	30
Sbrasiliensis	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
Boidae	30
Boidae	30
Cthous	30
Cthous	30
Daurita	30
Daurita	30
Hhydrochaeris	30
Smerianae	30
Ttetradactyla	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
PotentialUsers	30
Daurita	30
PotentialUsers	30
Daurita	30.5
Daurita	30.5
PotentialUsers	30.5
PotentialUsers	30.5
Boidae	30.5
PotentialUsers	30.5
PotentialUsers	31
Boidae	31
Boidae	31
Boidae	31
Boidae	31
Cinsidiosus	31
Cinsidiosus	31
Dasypodidae	31
Hhydrochaeris	31
PotentialUsers	31
PotentialUsers	31
PotentialUsers	31
PotentialUsers	31
PotentialUsers	31
PotentialUsers	31
PotentialUsers	31
PotentialUsers	31
Daurita	31.5
Ttetradactyla	31.5
PotentialUsers	31.5
PotentialUsers	31.5
Cinsidiosus	31.5
Dasypodidae	31.5
Daurita	31.5
Sbrasiliensis	31.5
PotentialUsers	31.5
PotentialUsers	31.5
PotentialUsers	31.5
PotentialUsers	31.5
Boidae	32
Cthous	32
Cthous	32
Daurita	32
Daurita	32
Daurita	32
Ttetradactyla	32
Ttetradactyla	32
PotentialUsers	32
PotentialUsers	32
PotentialUsers	32
PotentialUsers	32
PotentialUsers	32
PotentialUsers	32
PotentialUsers	32
PotentialUsers	32
Cthous	32
Daurita	32
PotentialUsers	32
PotentialUsers	32
Cthous	32.5
PotentialUsers	32.5
Cthous	32.5
Cinsidiosus	32.5
PotentialUsers	32.5
PotentialUsers	32.5
Daurita	33
PotentialUsers	33
Boidae	33
PotentialUsers	33
Boidae	33
Boidae	33
Boidae	33
Boidae	33
Daurita	33
Daurita	33
Daurita	33
Daurita	33
Daurita	33
Sbrasiliensis	33
Ttetradactyla	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
PotentialUsers	33
Cthous	33
Sbrasiliensis	33
PotentialUsers	33
PotentialUsers	33
Cthous	33.5
Cthous	33.5
Pcancrivorus	33.5
PotentialUsers	33.5
PotentialUsers	33.5
PotentialUsers	33.5
Cthous	33.5
Daurita	33.5
Sbrasiliensis	33.5
PotentialUsers	33.5
PotentialUsers	33.5
PotentialUsers	33.5
Dasypodidae	34
Daurita	34
Daurita	34
PotentialUsers	34
PotentialUsers	34
PotentialUsers	34
Boidae	34
Boidae	34
Cthous	34
Cinsidiosus	34
Daurita	34
Daurita	34
Hhydrochaeris	34
Pcancrivorus	34
Pcancrivorus	34
PotentialUsers	34
PotentialUsers	34
PotentialUsers	34
PotentialUsers	34
PotentialUsers	34
PotentialUsers	34
PotentialUsers	34
PotentialUsers	34
PotentialUsers	34
Dasypodidae	34
PotentialUsers	34
Boidae	34.5
Cthous	34.5
Cthous	34.5
PotentialUsers	34.5
PotentialUsers	34.5
PotentialUsers	34.5
Boidae	34.5
Boidae	34.5
Boidae	34.5
PotentialUsers	34.5
PotentialUsers	34.5
PotentialUsers	34.5
Hhydrochaeris	35
Ttetradactyla	35
PotentialUsers	35
PotentialUsers	35
Boidae	35
Boidae	35
Boidae	35
Boidae	35
Cthous	35
Cthous	35
Daurita	35
Daurita	35
Daurita	35
Pcancrivorus	35
Sbrasiliensis	35
Ttetradactyla	35
Ttetradactyla	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
PotentialUsers	35
Boidae	35
PotentialUsers	35
Pcancrivorus	35.5
Ttetradactyla	35.5
PotentialUsers	35.5
PotentialUsers	35.5
Boidae	35.5
Boidae	35.5
Dasypodidae	35.5
Pcancrivorus	35.5
PotentialUsers	35.5
PotentialUsers	35.5
PotentialUsers	35.5
PotentialUsers	35.5
Boidae	36
Cthous	36
Ttetradactyla	36
PotentialUsers	36
PotentialUsers	36
PotentialUsers	36
Boidae	36
Cthous	36
Dasypodidae	36
Daurita	36
Daurita	36
Daurita	36
Daurita	36
Pcancrivorus	36
Pcancrivorus	36
PotentialUsers	36
PotentialUsers	36
PotentialUsers	36
PotentialUsers	36
PotentialUsers	36
PotentialUsers	36
PotentialUsers	36
PotentialUsers	36
PotentialUsers	36
Boidae	36
Cthous	36
PotentialUsers	36
PotentialUsers	36
Cthous	36
PotentialUsers	36
Boidae	36.5
PotentialUsers	36.5
Boidae	36.5
Boidae	36.5
Cthous	36.5
PotentialUsers	36.5
PotentialUsers	36.5
PotentialUsers	36.5
Boidae	37
Boidae	37
Boidae	37
Boidae	37
Boidae	37
Cthous	37
Cthous	37
Cthous	37
Cthous	37
Cinsidiosus	37
Daurita	37
Daurita	37
Hhydrochaeris	37
Sbrasiliensis	37
Ttetradactyla	37
Ttetradactyla	37
Ttetradactyla	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
PotentialUsers	37
Cthous	37
PotentialUsers	37
Boidae	37
PotentialUsers	37
Smerianae	37.5
Ttetradactyla	37.5
PotentialUsers	37.5
PotentialUsers	37.5
Boidae	37.5
Boidae	37.5
Boidae	37.5
Cinsidiosus	37.5
Cinsidiosus	37.5
Dasypodidae	37.5
Dasypodidae	37.5
Daurita	37.5
Daurita	37.5
Daurita	37.5
Daurita	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
PotentialUsers	37.5
Boidae	37.5
PotentialUsers	37.5
PotentialUsers	37.5
Boidae	38
Boidae	38
Boidae	38
Boidae	38
Daurita	38
Hhydrochaeris	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
Cthous	38
Daurita	38
PotentialUsers	38
PotentialUsers	38
Boidae	38
Boidae	38
Boidae	38
Boidae	38
Boidae	38
Boidae	38
Boidae	38
Boidae	38
Boidae	38
Boidae	38
Cthous	38
Cthous	38
Cthous	38
Cthous	38
Cthous	38
Cthous	38
Cinsidiosus	38
Cinsidiosus	38
Cinsidiosus	38
Cinsidiosus	38
Daurita	38
Daurita	38
Daurita	38
Daurita	38
Daurita	38
Daurita	38
Hhydrochaeris	38
Pcancrivorus	38
Pcancrivorus	38
Pcancrivorus	38
Smerianae	38
Sbrasiliensis	38
Ttetradactyla	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
Cthous	38
PotentialUsers	38
Boidae	38
Cthous	38
Cthous	38
Cthous	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
PotentialUsers	38
Pcancrivorus	38.5
PotentialUsers	38.5
Boidae	38.5
Boidae	38.5
PotentialUsers	38.5
PotentialUsers	38.5
Boidae	38.5
PotentialUsers	38.5
Cthous	39
Cthous	39
Dasypodidae	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
Boidae	39
PotentialUsers	39
Boidae	39
Boidae	39
Boidae	39
Boidae	39
Boidae	39
Boidae	39
Boidae	39
Boidae	39
Cthous	39
Cthous	39
Cthous	39
Cthous	39
Cthous	39
Cthous	39
Cinsidiosus	39
Dasypodidae	39
Daurita	39
Daurita	39
Daurita	39
Daurita	39
Daurita	39
Pcancrivorus	39
Ttetradactyla	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
PotentialUsers	39
Boidae	39
PotentialUsers	39
Boidae	39.5
PotentialUsers	39.5
Cthous	39.5
PotentialUsers	39.5
Boidae	39.5
Daurita	39.5
Daurita	39.5
Hhydrochaeris	39.5
PotentialUsers	39.5
PotentialUsers	39.5
PotentialUsers	39.5
PotentialUsers	39.5
Boidae	39.5
PotentialUsers	39.5
Cthous	39.5
PotentialUsers	39.5
Cthous	40
Cthous	40
Cthous	40
Cinsidiosus	40
Daurita	40
Sbrasiliensis	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
PotentialUsers	40
Cthous	40
Pcancrivorus	40
PotentialUsers	40
PotentialUsers	40
Boidae	40
Boidae	40
Boidae	40
